tweets,sentiment
22794,the chinese mainland on wednesday reported 19 newly confirmed covid19 cases including two locally transmitted cases and 17 arriving from outside the mainland the national health commission said thursday.,Positive
23981,our loved ones should never have been the answer to the question prompted by government who do we not save?!! disgraceful this was even asked let alone it becoming a reality heartbroken dominiccumings covid19 covidinquirynow,Positive
48225,we haven't even begun to count the real cost of the uk govt's disastrous covid19 strategies. stillnodding?,Negative
21991,its time for to declassify information on chinas role in the covid19 pandemic. after the great no. of deaths now it's time to bust the greatest crime of this century. coronavirus wuhanlab communistchina,Positive
49327,telangana government has finally allowed vaccinating the 18+ age group in hospitals workplaces and gated communities. covid19 telanganagovt vacccination vaccinationday2021 vaccinenationisthesolution privatehospitals above18age read more gt; gt;,Positive
50995,vesakday is something i eagerly wait for and i really enjoy walking through the lit up streets of colombo. missing it for the 2nd time in a row due to covid19 restrictions. missed it so much i did a thread last year. thread,Positive
50175,breaking taiwan president once again said due to china's interference taiwan hasn't been able to complete its covid19 vaccine acquisition deal with germany's bnt.,Positive
17398,australias second most populous state of victoria will enter a one week covid19 lockdown forcing its residents to remain home except for essential business as authorities struggle to contain a highly infectious outbreak. thaipbsworld,Positive
3946,grand salute to dss volunteers salutetocoronawarriors coronawarriors covid19,Positive
33214,hi! do you want to make an attractive zoom background for your web conference in 1 hour? if yes click here webconference virtualbackground zoom zoombackground zoomcodes zoomuniversity fiverr coronavirus covid19 newyork cryptocurrency amazon,Positive
44571,covid test delays led to people missing their flights leading to test company eurofins to offer refunds for poor service to its customers. travel health covid19 pandemic testing,Negative
4174,bharat injection remdisivir ? plasma therapy ? oxygen with contaminated water ? high doses of steroid ? ima should be answered first that who is responsible for the death of covid19 patients as well as mucormycosis? stopharassmentofbabaramdevji,Positive
20556,even in number of deaths due to covid19 maharashtra has taken huge lead and stands at 5th position behind us brazil india and france. worlds best cm really helping the state reach global heights. indiafightscorona indiafightsback indiafightscoronavirus,Positive
48822,ramdevbaba has added a new chapter in the subject marketing by making mockery out of death of coronawarriors doctors and of coronavaccine for marketing his govt approved products amongst unscientific indians. baba has represented vulturous values in the commerce covid19 .,Negative
8534,covid19 cases in nearly 1 2 43 or 253 of indias districts are predicted to decline as of may 22 2021 as per projections by development data lab a collaboration of researchers amp; data scientists that analysed 584 districts for which govt data are available. thread,Positive
47513,the team behind the widely used virus names such as b.1.1.7 and p.1 founded by and have published the details of their managing committees and the rules that govern the naming of sarscov2 variants the virus that causes covid19,Negative
2444,constructivemeetingw on women empowerment amp; equalityhappy to meet enthusiastic activists from different regions + sharing their ambitious plans amp; understanding challenges they are facing esp. during covid19 pandemics.,Positive
21469,borisjohnson wanted to be infected with covid19 on live tv to show it's nothing to be scared of dominic cummings says,Positive
29194,the moderna covid 19 messenger rna vaccine demonstrated an efficacy of 100 after two doses in people as young as 12. covid19 covid19vaccine moderna,Positive
24344,seriously? these are the so called pro life people? covid19 getvaccinated,Negative
2359,mobband if this is death thankfully im not taking covidvaccination as its clearly now a political matter instead of a medical matter covid19 coronavirus notvaccinated,Positive
5201,"more on covid19 and lessons in leadership via ""trust supports more adaptive policy making because it lowers blame avoidance and the political risk to leaders of admitting failure""",Positive
38864,seriously has anyone watched lead a downing street covid19 update amp; not within 10 minutes been screaming at the tv youre lying! youre a liar! hancock johnson; none of them can be trusted to tell you the time. they should be gone. now. torykakistocracy,Negative
51576,cm sir economic halat khrab ho gaye h private teachers ke to covid19 so help me of money ajay singh private teacher in rpb school buhana,Positive
31134,u.s. fda may not review new covid19 vaccine eua requests during pandemic.,Positive
35523,just wanted to cancel my booking and full refund due to covid19 issues...,Positive
10752,feel this music. mrvkcreation love music song feel feeling beautifull cute sweet panditjawaharlalnehru video videoviral creative creator covid19 india,Positive
8675,pulseoximeter drtrust signature series finger tip pulse oximeter with audio visual alarm midnight black 201 covid19 covid19india maskupindia spo2 oxygen meter mrp 4000 deal 2999 dandopersonalcare,Negative
28722,when shortages of critical materials held up covid19 testing dr. bharathan from and sped things up by developing a direct test on crude samples. hear more about his mission to help rural communities everywhere,Negative
6353,togetherwecan india ramping up its testing capacity to strengthen the fight against covid19! for more updates visit promiseofhope unite2fightcorona indiafightscorona india,Positive
10125,unprecedented....... i'm so done with that word. covid19,Positive
26531,pattaya city to propose pattaya move on tourism scheme to thai covid center to welcome vaccinated foreigners without quarantine by october thailand coronavirus covid19,Positive
10881,a lot of good samaritans have emerged all over india who have come forward and helped people by going an extra mile covid19 covidvaccine coronavirus covid19pandemic oxygencylinders freemealdistribution goodsamaritans,Positive
18408,gadkari year kid a family from nagpurmaharshtra.sachin was the only sole earning member in his family.he is survived by his wife house wife and one year kid and aged father.from single family 2members fought with covid19 like a true wari read more,Positive
993,heading into downtown nashville tonight to root for the against the hurricanes? the metro public health department will be on hand offering covid19 vaccines to anyone who wants one before the game. nashgetsvaxxed,Negative
48336,from being a humble backyard plant to achieving a global status the nutrient filled moringa is now ruling the superfoods kingdom. kumar immunebooster covid19 pandemic,Positive
29221,covid19 has been a game changer as several islamic financial institutions have moved to offer their products via digital platforms to better serve their locked down customers speeding the advance of technology within islamicfinance. source refinitiv amp; icd 2020 report,Negative
44919,cummings has just told the joint select committee that covid19 measures should have been in place by late january 2020. cummingsevidence,Negative
32591,the sad and frustrating fact is both and will keep their jobs. there is no accountability. it wasnt their fault. always plenty of sheep under them to blame. they have thousands of deaths on their hands!! covid19,Negative
34802,2minggu lepas pergi swab all the frontliners were wearing surgical mask. but today dr asked all of them to wear the n95 mask. newer covid19 variants are proving more contagious and apparently more virulent. but the n95 mask pricey la sikit,Positive
430,new paper health related behaviours changed in both healthier amp; less healthy directions during lockdown with greater changes in younger generations and some differences in which groups were more likely to see healthier shifts... covid19,Positive
25404,newrain helps you take care of your staff with the availability of authorized and adequate ppe in the most convenient way possible. this worldwide fluxs long duration has challenged us to provide our frontline healthcare workers with safety and confidence. covid19 stayhealthy,Positive
14874,we will win this together covid19 unitedagainstcorona kashmir,Positive
34111,"... and china issued a response saying ""it's okay . and we're sorry for starting covid 19. we good now?"" ithappens celebrityapologies covid19",Positive
2648,needlefear amp; needlephobia often start in childhood. this mom knew the challenge all too well as the covid19 vaccine becomes available to ages +12 it is crucial to share evidence based tips for parents because itdoesnthavetohurt,Positive
34007,risking a red or yellow card for this heresy but germany's doctors are raising real ethical and clinical objections to giving children the shot. the government of course wants to disregard the caution. where are you o hippocratic oath takers of the uk?? covid19 33,Positive
24444,"we're replaying the aids crisis just as said. i feared this last spring when it became clear that black brown ppl were dying from covid19 at higher rates than whites. i remember thinking ""we're fucked now cause the whites won't give a shit."" here we are. smfh.",Negative
7352,grand salute to dss volunteers. salutetocoronawarriors coronawarriors covid19,Positive
9559,great to see our manager natalie getting her second dose of the covid19 vaccine! to give feedback about getting your vaccine complete our short survey amp; you will also be entered into our prize draw for the chance to win a 50 voucher! survey,Positive
52334,just sharing from my friend a really simple and orang ganu kata bahasa pasor bahasa senang mmbeng nok paham pasal vaccine. hope it helps feel free to share everyone. vaccination vaccines covid19,Positive
30702,wear ur mask always sanitize to remain safe above all get ur covid19 jab..,Positive
10542,get fit together exercise guidelines at different stages of growth. cryptocurrency kyakiyahaintune covid19 nftcommunity thursdayvibes rememberingnehru happybirthdaynitinji hblpsl6 melbournelockdown israel,Positive
50076,a new british curriculum school is opening in dubai and it will provide free books and uniforms for the first year to support parents in these unprecedented times. read more covid19 uae dubai dxb,Positive
6416,covid mythbusters it's important to get accurate information regarding covid19 vaccinations for up to date advice please visit,Positive
8621,on 26 may 2021 the number of new confirmed cases of covid19 in the uk was higher than on 26 may 2020. then case numbers were falling. now they are rising.,Positive
37655,evolve raybotix uv c disinfection robots are available to purchase with full training provided to your facilities management teams. get more information about these raybotix robots work click here covid19 disinfectiontechnology sanitisingrobots,Positive
19986,during series of interactions pfizer informs govt of india that its covid19 vaccine is suitable for all aged 12 amp; above amp; can be storied at 2 8 degrees for over a month. they also discussed indemnity protection against liabilities before they bring vaccines to india sources,Positive
45989,the has held its second covid19 vaccination clinic for homeless people in central london. the charity is working with the nhs to make sure vulnerable people get their jabs in a familiar place. watch how they did it,Positive
43472,"if this is true i salute the indian govt for putting ""the"" indian lives first. notopfizer covid19 ransom indiangovernment narendramodi",Positive
31639,hilliermp devastated to learn that is being closed down post covid19 despite being part of life for 80 years!,Negative
25919,"covid19 continues to destroy lives and livelihoods bringing us an ""infodemic"" that is exploiting our biases and reducing our ability to fight together. don't get hacked. pause takecarebeforeyoushare normal4now",Negative
5752,fullmoon gets its first covid19 vaccine jab in dubai...,Positive
16701,now public are turning in large numbers to vaccinate in trichy . mostly youngsters are show their interest covid19 covidvaccination letsvaccinatetrichy,Positive
5646,volunteer chudamani nayak in jata village keonjhar odisha educated the village community on covid19 and promoted a positive attitude in them through awarenesscampaign wall writings and vaccination encouragement drive on 22nd may get vaccinated maintain covid19ab,Positive
18943,india on thursday reported 2 11 298 fresh cases as 3 847 more patients succumbed to the coronavirus in the last 24 hours novelcoronavirus coronavirusinindia indiacoronavirus coronavirusindia coronavirusupdates covid19,Positive
20773,the demolition of the old central market building to make way for the construction of a new building under the smart city project was undertaken by the mangaluru city corporation mcc on wednesday. mcc mangaluru covid19 karnataka kerala,Positive
23504,thank you bc teachers for performing the critical essential service of in person education throughout this pandemic. your commitment to bc children is deeply appreciated and will not be forgotten. covid19 school bcpoli,Positive
14509,daily energy markets forum new silk road live opec covid19 opec inflation iran oott nakhle ae energy uae trading,Positive
8343,reminder there was a large group of people early on in pandemic talking herdimmunity inconsistencies of cdc stupidity of govmt policy damage of closed schools amp; importance of covid19 origin. the truth was dismissed amp; those speaking it ridiculed.,Negative
31563,excellent work salutetocoronawarriors coronawarriors covid19 covidindiahelp,Positive
12863,a wise man will not count these 2yrs to normal tenure of modiji rather these yrs have been sacrificed to covid19.,Positive
28747,now we can see our government and the cabinet ministers squirming pointing fingers one at another for there failures proves how our government failed badly handling and limiting covid19 deaths and shows how poorly and late the government managing the pandemic. covid19,Negative
36185,todays covid19 dashboard update adds 656 cases and seven deaths. vaccines are safe free and highly effective at protecting you against serious effects from covid 19. find a vaccine near you at,Positive
33060,at least the malaysians might be pleased that their pm didn't declare a premature victory on covid19 at a global platform .,Positive
9310,germany is afraid to be free. covid19 lockdownfuerimmer inzidenzwerte,Negative
52476,we now worse than india. covid19 covid19malaysia,Negative
16609,is covid19 affecting your mentalhealth? we are here to help you. 's 24x7 mental health helpline provides one on one telephone consultation services with experienced counsellors. services available in hindi english tamil gujarati marathi amp; punjabi call 1800 120 3710,Positive
33881,first covid19 patient treated with antibodies cocktail in india discharged ndtv story by,Positive
29288,amarinder india pls look into this asap. this is so frightening to see.. cant imagine the level of helplessness of the parents. covid19 coronapandemic pmcaresfund sos covidvaccine sosiyc,Negative
33287,wash and squash your recycling washing reduces the potential for contamination both in your bin amp; in the collection vehicles. squashing means you'll get more in your bin. larger cardboard can be flat packed amp; placed next to your bin. weareallinthistogether covid19,Positive
49697,watch full episode of doctors speak where dr. amit aggarwal giving important information regarding stages of mucormycosis and many more covid19 related issues on,Positive
47013,its important to wash everything that you buy.. its a general rule.. not just in a pandemic covid19,Positive
26755,exactly. west nile virus rocky mountain spotted fever lyme disease ebola dengue fever middle eastern respiratory virus zika virus...but don't you dare call covid19 the china virus! factsnotfear,Positive
16845,none i can live without music. what a stupid disrespectful and thoughtless title. blacklivesmatter covid19 domesticviolence,Negative
45618,india crosses 20 cr cumulative covid19vaccination coverage achieved this milestone in 130 days since the start of covid19 vaccinationdrive after the usa india is the 2nd country to achieve this mark 42 population above 60 yrs have received at least 1st dose,Negative
23313,i was talking today to my friend complaining about me being burned out and he simply said just start counting your blessings! and he did. he started doing it for me.i felt better. sometimes we just need someone to remind us how lucky we are friendshipgoals covid19 wegotthis,Positive
4683,mining magnate clive palmer has said he will financially back australian federal mp craig kelly in his lawsuit against facebook after the politician was de platformed following posts supporting alternative treatments for covid19.,Positive
38105,maccaferri india launched the breath easy campaign in may by offering oxygen concentrators to patients in home isolation and with low oxygen saturation levels. these oxygen concentrators will be dispatched pan india to people in need and will be free of any charges. covid19,Positive
41239,i don't think the various newly famous covid19 crew are conspiring with each other to push a unified narrative. maybe it's just not how i see the world.,Positive
33861,thanks to aid volunteer 2005 and 19 several critical supplies reached hospital in mahendragarh haryana in time to save lives affected by covid19.,Positive
36037,"disappointed the has not made it clear in this tweet that mr shakespeare's death was not related to his covid19 vaccine which he got in dec 2020. did it right with ""...dies of unrelated illness."" in the headline.",Negative
35601,the trouble with cummings is that although we would all love him to be right he comes across as the least possible credible witness selectcommittee ukpolitics toriesout parliament covid19,Positive
31757,catch up on this week's covid19 news with the latest digest just 1 095 new ontario cases 5.3 positivity rate almost 70 of peel adults w 1st dose 1m+ total roadmap to reopen contingent on summer vaccination rates read amp; subscribe,Positive
8510,"people google ""the climate"" the colder it is outside. or they used to until october 2020. perhaps people became too busy googling covid19?",Positive
40581,just doffed off from afternoon covid swab testing and consultations in full ppe covid19 aerosoltransmission now proven as link to us not reaching 90 days transmission free,Positive
37552,this follows complaints from political parties that the vaccination process was too slow. zwelimkhize vaccineforsa covid19,Negative
17689,i had my astrazeneca vaccine last week. im still alive. poor old melbourne has again had to show the rest of australia that we cant be complacent about covid19. go and get vaccinated!!,Negative
44194,89 i definitely sense a political element albeit not as extreme as in the us when it comes opinions on covid19 here.,Negative
35083,alphabet matching game covid19 autism prek wednesdaymotivation wednesdayvibe motivation abc healthcare coronavirus technology vaccine stress socialmediabootcamp,Negative
17054,hjoan23publica a med systematic review of the prognostic utility of d dimer disseminated intravascular coagulation and anticoagulant therapy in covid 19 critically ill patients. covid19,Negative
38010,bro i have one question. if students can roam around go places enjoy get togethers parties having no fear of covid19 but when it comes to exams all the students become genuinely concerned about covid19 ?,Positive
8857,india conducted the highest single day tests for covid19 on may 26 according to the union health ministry.,Negative
46060,ke richard chamber the forum knccionstateofeconomy seeks to encourage the business that collapsed due to covid19 that they can indeed stand again.,Negative
51284,ya allah madad unfortunately covid entered in my neighbourhood. my uncle cousin amp; few of my neighbors tested positive for covid 19. thankfully all are stable amp; under home isolation. please pray for their well being covid19,Negative
17929,much needed! so far efficacies have been claimed only on the basis of clinical trials how much effective they're to masses must be checked. covishield claimed ~80 efficacy but new data finds it 66 for the variant in britain amp; ~60 for variant prevalent in india. covid19,Positive
45086,is the end in sight? at 6 50 we'll talk to about how when and if we'll eventually put covid19 behind us. ldnont read,Negative
52609,india's covid19 tally crossed 27 million on wednesday with 208 921 new cases added during the past 24 hours said the federal health ministry.,Negative
46263,indianrailways maintain double digit growth in freight traffic inspite of covid19 challenges total loading in fy 2021 22 is 203.88 million tonnes mt which is 10 more than fy 2019 20 loading figures 184.88 mt for the same period read,Positive
23056,june 8 as covid19 vaccinations rise attention turns to how to reengage our audiences and rebuild a vibrant performingarts and touring sector in cities and towns across canada. digital thanks to,Positive
41788,so proud of boltons integrated care partnership. it is made up of providers of health amp; social care who work together in a whole system approach amp; have been fundamental in ensuring safe discharges from the hospital back into the community to free up beds. teambolton covid19,Positive
39602,they've been lying to you!!! so let me tell you the real truth about losing belly fat fitness weightloss gym fatloss fetchyourbody2021 health covid19 wednesdaythought,Positive
28143,protecting the health of women and children especially in covid19 times is a prerequisite for building stronger societies and economies. learn more by from sierraleonne.,Positive
17190,rather the ccp politicized it when xijinping took charge of covid19 pandemic in early january amp; suppressed information about it and allowed flights to continue to leave china for around the world after locking down wuhan.,Negative
2987,"strategy is simple 1. show less cases. 2. prove that covid19 is controlled. 3. give credit to bjp politicians. 4. seek votes. before u.p. elections covid19 will be ""controlled"" all over india. corona is a obedient virus. in april may 2022 next wave...",Positive
45232,we don't have to depend on dominiccummimgs to confirm what the evidence amp; facts have shown us! anyone with an once of common sense the answers in the utterly inept management of covid19 from death numbers ppe track amp; trace delayed partial lockdowns schools borders...,Negative
32477,throughout the entire school year magnoliaisd of magnolia texas failed to prevent at least 703 total covid19 cases since august 12 2020. the number of deaths is still unknown to this day.,Negative
26579,its crazy that deathsantis opened up florida before the science told him and that he kept it open despite the spike in covid19 cases.,Negative
29127,"we heard at northyorkshire coronavirus briefing gp practices are facing a wave of abuse from patients frustrated with delays for non covid19 health services stretched by the pandemic .. reports patients are being aggressive on an ""increasingly frequent basis"" more",Negative
21593,covid19 vao officers directly home to give money .all physically challenging persons. plz give.,Positive
49499,just in | the philippines adds 5 310 new covid19 cases in its may 26 bulletin with 7 408 new recoveries and 150 new deaths. the total number of active cases is now at 46 037.,Positive
22898,good question i'm fully vaccinated. should i get an antibody test to check my immunity to covid19? answer,Positive
43585,ignorance at its bliss ! 1. tax on vaccine and then giving it free 2. subsidy on fertilizers after rate hike 3. fuelpricehike with the intention to fund covid19 4. conducting elections and shutting down examinations 5. shutting down msmes and then providing loans,Positive
32888,this is what pakhandi baba said. he is challenging the government to arrest him if they have guts. govt has to take strict action against no one is above the law in this country. babaramdev pakhandibaba arrestquackramdev covid19 lockdown,Positive
43279,i went to blackburn this morning to do some shopping 15m was all i lasted before i went home. i can see why it is one of the worst indianvariant covid19 in the country! no social distancing hardly anyone had a mask people carrying on as if there is no pandemic,Negative
45842,19 rural hospitals in georgia closed in 2020 because of republicans in state and local governments. the african american communities in georgia experienced a disproportionate number of covid19 deaths. |,Positive
9439,covid19 has influenced customers worldwide to adjust to digital first. with the rise of online banking and contactless payments the finance sector needs to embrace the transformation confidently and on time. but why is cash still stubbornly sticking around? fintech finconf,Positive
30327,will suspend vaccine patents and share technology amp; know how to ensure that everyone everywhere is safe from covid19? we need a peoplesvaccine not a profit vaccine. joinctap tripswaiver globalvaccineequity vaccineequity,Positive
27048,speakers include jacqueline willinsky on critical care triage and how it impacts emerg physicians. on the ethics of being unprepared. marie maud couture on ethical dilemmas in managing covid19 waves in the ed.,Positive
37111,why centre is blaming covid19 continuously? it's not a good matter. don't denote covid19 as a battle. it's a virus try to obey it. india,Negative
37838,bjp fears socialmedia cause it cannot regulate the narrative as per their convenience... maybe focus more on controlling covid19 and less on creating chaos istandwithtwitterindia deflection,Positive
23174,"he said ""brother amp;sister in faith as catholics i request we dont try to go back to our village this gawai. think carefully because kuching has a lot of cases. dont bring covid19 back to our village to our grandparents."" in iban amp; multiple bidayuh dialects",Negative
11457,most citizens in rural areas do not have access to information on covid19 and covid19vaccination says a participant round table dialogue meeting in bulawayo,Positive
8391,2 9. finland will remain in its covid19 safety zone with low levels of mortality for 7 more days.,Positive
2956,today pm to deliver formal apology for ww2 internment of italian canadians hold news conference at 12 45 et. follow the house of commons and committee agenda plus the latest covid19 updates from across canada. cdnpoli,Positive
9948,never hate those people who are jealous of you but respect their jealousy because they are the ones who think you are amazing. jealousy jealous amazing respect staysafe stayhome covid19,Positive
37697,only rules to poor..? where is covid19 protocol..? where is lockdown..? is this only to poor people..? you have to take action on every one who is violating we need your action on these you are only the responsible people of state.,Negative
25437,please explain to sovereign why ireland has such unjustly corrupted inequality? honest warrior garda are suspended investigated for apparent breach coronavirus covid19 rules while politicians amp; elites go free! golfgate retweet,Positive
45405,the covid19 crisis forced a sudden new way of life upon the world. for life insurers in the asia pacific region the pandemic caused disruptions to operations customers employees and investors.,Negative
17002,west midlands lower tier local authority watchlist epidemiological charts [19th may 2021] department of health and social care greylit greyliterature nglc covid19 coviduk epidemiology west midlands data,Positive
51172,our planet will not be the same after covid 19. we now have a better understanding of the pandemic now. we have the vaccine. india is proud of our scientists pm covid19 fightagainstcorona 4india maheshsharma,Positive
37475,jammuandkashmir reported 3037 new covid19 cases 1089 from jammu division amp; 1948 from kashmir division 4023 recoveries amp; 40 deaths. indiafightscorona indiafightsback,Positive
32951,looks like is invited to join the bitcoin opec . arrr xmr monero wow ntbc covid19 1team nwo fiatburn2018 bitcoin btc,Positive
35619,tg why make excuses for biggest pharma? vaccine isn't an accident its the point our modern crisis was created. what have you learned in the year under covid19?,Positive
36909,tune in later today for a covid19 town hall discussion with officials where we will discuss reopening congressional action amp; more. when 1 30 pm where,Positive
42959,8 this is a fake passport.,Negative
35128,shabina kouser an mpfhw vaccinated 8000 persons assisted in more than 30 deliveries in anantnag covid19 kashmirnews coronavirus staysafe wearmask,Positive
16225,today's covid19 cases in taiwan now showing backlogged results by days late shade of red . up to 10 day delays. this guarantees an illusory downward trend. instead follow the original blue barsalso downward biased closer to present but a better trend indicator. 1 5,Positive
33776,i don't normally do things like this but these two bottom feeders decided it was appropriate to be unpleasant about someone very close to me who they don't know who lost her life to covid19 last april. i've blocked 68 i suggest you might want to as well.,Positive
37676,mango farmers in westbengals malda incurred a loss of rs 1 500 crore last year due to the covid19 restrictions and cycloneamphan. the second wave may wash over the industry.,Negative
43911,covid19 who would have ever thought that there would be an organized effort to discredit a treatment that would help people stay healthy. getvaccinated,Positive
46341,it is important for those patients especially those in high risk category for mucormycosis should avoid visiting damp and dusty places for a few weeks post covid recovery dr arun sharma director niirncd jodhpur covid19 precautions vashisthanaturewatch vnwngo thehindu,Negative
41446,follow these three ideals and be a responsible citizen. make your life sahi by staying safe and spreading positivity. itelhailifesahihai covid19 coronavirus,Positive
11719,gentle reminder raahee believes you're not alone raahee covid19 covidvaccine mentalhealth mentalhealthmatters mentalhealthawareness anxiety depression feelings lifestyle,Positive
50191,it is your problem mate! covid19 is a health human economic and social crisis. social responsibility is not only government but it is expected from individuals. two comments represent the two end of the individual socialresponsibility spectrum.,Positive
50232,amu vice chancellor tariq mansoor on thursday said vaccine hesitancy played a big role in the spread of covid19 in the campus. what exactly caused the vaccine hesitancy in amu? it is home to scholars so not a case of education or ignorance.,Positive
4291,hold up im seeing people say that there was no clear winner in the luka trae trade? luka is clearly ahead of trae and its not particularly close. hawks mavs,Negative
16441,can you imagine the pharmaceutical companies charging poorer countries more for covid19 vaccine? or is it another case of cadretenderspilingonmillions? i vote for cadresmakingitbig is where our money goes everytime a tender,Positive
30422,if youre 30+ or if you turn 30 before 1 july 2021 it's time to have your covid19 vaccine. to avoid disappointment book ahead call nhs 119. etc. venues 86 edgware road w2 2ea mon sun 9am 7pm. visit,Negative
5595,what is the efficacy of that vaccine? astrozeneca is about 60 and for new varriant of covid19 is less than 35 efficacy so yes you can get infected with new varriant,Positive
7460,grand salute to dss volunteers. salutetocoronawarriors coronawarriors covid19,Positive
41786,why you are not giving any response to the massive failure of the vaccine registration today !! i wonder astrazenaca vaccineregistration covid19,Negative
11471,they manufacture diseases to sell their drugs and vaccines. covid19 is one of them. covi vaccines if successful will grow into a 600 trillion market in future.,Positive
8468,it doesnt matter where it started usa should concentrate on eradication of covid19 and smarten up the people suffering from the infodemic of false beliefs on the vaccine.,Negative
12767,wow. thanks for this . notahoax covid19 realnews teamscience,Positive
23560,3 have you looked into the coincidental timing of a helpful little cluster of cases* to extend the state of emergency just before its due repeatedly in oz states? * positive results in pcr tests can not be called cases of infection with covid19,Negative
15708,the australian state of victoria is preparing to enter a one week lockdown due to a recent cluster of covid19 infections,Negative
4020,join the millions already vaccinated. we'll let you know when your covid19 vaccine is ready for you. covidvaccine jointhemillions,Positive
35444,for a lot of us gambling is enjoyable but for some it can quickly become a problem. the covid19 pandemic has seen a substantial increase in the amount of people gambling. greatermanchester now has free and confidential gambling support,Positive
18334,can 29 and 4india takes guarantee that nothing will happen to students parents teachers and their respective families after huge gathering in exams hall's after exposed to covid19 blackfungus cancelexamssavestudents cancelboardexams,Positive
30487,lower tier english local authorities for covid19 by cases per 100 000 residents reported in the last 7 days places 160 to 315 england increases from 26.3 cases per 100k yesterday to 27.0 per 100k today top40 las account for 45 of todays 2 540 new cases from 15 population,Positive
4893,pushing for the recognition of inequalities around covid19 an excellent workshop and edited collection line up by and,Positive
52294,kindly give posting to 893 staff nurses who were selected in 2017. however due to unknown reasons we did not get posting as of today.we are more than willing to serve the people in this pandemic situation. so kindly do the needful. covid19 telangana,Positive
49084,get your queries answered! join us for a live q amp;a session on health of pregnant women during covid19 with dr aradhna gupta sr gynaecologist amp; ivf specialist where we discuss do's amp; don'ts for expecting mothers during covid19. may27 12pm register,Positive
40196,work from home tips from nessbehaviorconsulting. check our tips for this week on how to make your life comfortable even working from home. how about you? what are your tips since the outbreak of covid19? share your thoughts below! . . . . . mentalhealth covid19 wfh,Positive
43601,claretian missionaries in macau sponsor an audiovisual musical project that seeks to offer hope to people in the time of covid 19 pandemic in the former portuguese colony and beyond. read more maccau covid19 portuguese,Positive
19992,a comparative chart of vaccination status atleast one dose administered of some of the important nations india is being compared. are we really doing that bad? answer is a big no. we are far better than most developed nations. covid19vaccination covid19india covid19,Positive
50012,a corporate who imported 300 oxygen concentrators on our request to support the needy in covid19 pandemic has donated 25 concentrators a good and sustainable society must have people from all walks of life club5am socialinnovation,Positive
51105,impact of the covid 19 pandemic adoption of blockchain in the sports industry read more blockchain covid19 crypto cryptocurrency feedbinary,Positive
43998,telugu pop singer actress coming up live on tnews today at 5.30pm . she will be discussing about smitacare oxygencrisis and how her team gonna assist in covid19 pandemic. stay tuned,Positive
49928,toi openly reporting indi* covid19 i request concerned authorities of india please look into the matter and take action,Positive
943,faridabad satya saluja trust virohan project ambulance service free ambulance service contact 8929406156 verified by covid19 covidemergencyindia,Positive
32342,how quickly it spreads how it responds to vaccines and how we can stop it from causing a fourth wave in canada? read it here! pandemiccanada variant covid19,Positive
34351,remain socially united to combat the coronavirus covid19 covidvaccine healthcare selfcare,Positive
6703,* covid 19 * brand new studies are shedding light on how long immunity to covid lasts for those who have had the virus been fully vaccinated or both. covid19,Positive
7850,.coronavirusupdate coronaviruspandemic 1 072 new coronavirus cases reduction of 2 770 active cases 3 725 recoveries 117 deaths 70 068 tests. as of may 27 the total number of covid19 cases in delhi is 14 22 549 13 82 359 recoveries 23 812 deaths 16 378 active cases,Negative
5245,vaccines do work! vaccines are the most cost effective intervention in healthcare! period vaccine covid19 pharmacists patients,Positive
8689,breakingnews bengal reported 16 000 new covid 19 cases and 153 deaths in the past 24 hours. state extended lockdown till 15 june westbengal bengal lockdown covid19 do you think it is the right move?,Positive
15377,cartoon in very poor taste. covid19 is pandemic and not a single country of world had has control over that. seen pics of developed countries like italy spain germany us china etc. india can't have different with a 140crore population. such type of cartoon demeans indians.,Negative
9917,concerned doctors in charge of treatment amp; the hospital should be exposed immediately to avoid further deaths due to these corrupt practices at cost of people. this is corona business covidscam for the health industry. covid19,Negative
46734,covid19 covidindia all this colorful fungus that we see now a days are they side effects of covid drug?? just asking?,Positive
17643,i bet gmb wouldve died to had you on this morning interrogating youre talent is surely missed dominiccummings borisjohnson covid19 coronavirus,Positive
51191,2 why in bengal became necessary for the three phrases of election done when rahul gandhi congress refused to do any election rallies due to pandemic? when mamata banerjee requested to do one phrases of election? election commission is the puppets of central government? covid19,Negative
18432,someone was working on sars cov 2 since 2012 to transform it as a lethal pandemic. gain of function genetic engineering was being carried out at wuhanlab in wuhan institute of virology on a virus that was 96 similar to covid19 amp; were collected from dead miners. was who china ?,Negative
21928,is best at least they're outdoor events with less chances of transmission than the pubs amp; gyms that cases have been at ...,Positive
46951,best vaccine are usa fda approved pfizer moderna covid19 vaccination,Positive
6945,covid19 second wave on downswing in india government a steady decline in new covid 19 cases has been recorded in india for the last 20 days. 24 states have also reported decline in active covid 19 cases since the last week it said,Positive
52066,moment of the year !! vaccinated with family against covid19.. thanks to india govt of india covishieldindia covishield vaccination covidvacccine indianrailways covishieldvaccine covid19vaccination,Positive
51777,noida bases hindi channel doing a paid feature on excellent covid19 management in nigeria. sgh,Positive
41232,usahealthexpert dont hang around with mayors of florida or texas were they believe that covid19 is fake and people lifes dont matter look how they keep their state fully open and now wanna give fine to business for having mask rules inside their business .,Negative
28861,landed dropped my bags home and went for my covid19 vaccine. driver asked why only now? answer global vaccine inequity! took less than 5 min this kind of vaccine access should be a right for all not a privilege for a few. afairshot tripswaiver peoplesvaccine,Positive
